Client_ID,CLV
C-00001,1798.3146287904897
C-00002,2361.43215894833
C-00003,2015.9813310090433
C-00004,361.34382052743234
C-00005,3246.0270133255
C-00006,174.77725796645714
C-00007,1959.425544356408
C-00008,6392.128585765324
C-00009,291.817777282194
C-00010,0.0
C-00011,2722.7836552774284
C-00012,1817.5034038207007
C-00013,4203.736641101256
C-00014,998.0331322432078
C-00015,0.0
C-00016,386.0226744285035
C-00017,514.47342172755
C-00018,0.0
C-00019,2003.2251086285744
C-00020,183.99978853107925
C-00021,194.7410194942849
C-00022,0.0
C-00023,0.0
C-00024,103.69020916501955
C-00025,5452.370472478401
C-00026,62.394821642992994
C-00027,0.0
C-00028,0.0
C-00029,2007.1449191918402
C-00030,863.8293858565735
C-00031,9785.723479297882
C-00032,293.89967103507104
C-00033,0.0
C-00034,6095.354233854618
C-00035,1956.85285793632
C-00036,0.0
C-00037,0.0
C-00038,1232.78250299643
C-00039,320.8724707660749
C-00040,0.0
C-00041,13050.682555352809
C-00042,3814.3333428806936
C-00043,297.9805121588033
C-00044,0.0
C-00045,244.8249064812161
C-00046,20957.197675890548
C-00047,1174.319126633883
C-00048,0.0
C-00049,115.01761153285165
C-00050,8276.245703848475
C-00051,14.71106140769787
C-00052,0.0
C-00053,73.33376573281276
C-00054,0.0
C-00055,1394.2114820228453
C-00056,4662.514004006618
C-00057,61.775538542223146
C-00058,0.0
C-00059,154.6269930145197
C-00060,819.3626513767042
C-00061,0.0
C-00062,32.15440455733517
C-00063,0.0
C-00064,877.5744969586574
C-00065,74.56078245909379
C-00066,67.529599532973
C-00067,0.0
C-00068,6134.328500103824
C-00069,0.0
C-00070,20203.104864627043
C-00071,792.5025443673762
C-00072,292.7217628079584
C-00073,279.67655007205184
C-00074,2254.4455575475454
C-00075,11242.864418855974
C-00076,0.0
C-00077,343.29703606274376
C-00078,0.0
C-00079,137.2619820767536
C-00080,841.1975985199834
C-00081,0.0
C-00082,4834.3451778955705
C-00083,0.0
C-00084,253.87219911805525
C-00085,5686.913286922533
C-00086,0.0
C-00087,0.0
C-00088,2994.2889890433044
C-00089,7956.5882777884235
C-00090,82.7475365987437
C-00091,3143.889491876449
C-00092,170.69337669581486
C-00093,1545.5726130448197
C-00094,1178.0440941050267
C-00095,779.1972524413576
C-00096,30.364827148225427
C-00097,23238.098536222977
C-00098,1450.8221968333496
C-00099,0.0
C-00100,273.4952290010504
C-00101,17132.6231980809
C-00102,201.5471307287888
C-00103,2855.543499906145
C-00104,662.1636595696609
C-00105,530.567064108141
C-00106,4354.461403785239
